tid_tw,id_global,date,tw_id,partition_id,thing_type,size_category,base_color,state
T20260409_0017_TW2523,T20260409_0017,2026-04-09,TW2523,1,Bag,Small,Black,Carried
T20260409_0015_TW2523,T20260409_0015,2026-04-09,TW2523,1,Handbag,Small,Black,Stationary
T20260409_0006_TW2523,T20260409_0006,2026-04-09,TW2523,1,Handbag,Medium,Blue,Stationary
T20260409_0009_TW2523,T20260409_0009,2026-04-09,TW2523,1,Backpack,Small,Black,Carried
T20260409_0019_TW2523,T20260409_0019,2026-04-09,TW2523,1,Backpack,Medium,Black,Stationary
T20260409_0020_TW2523,T20260409_0020,2026-04-09,TW2523,1,Bag,Small,White,Carried
T20260409_0010_TW2523,T20260409_0010,2026-04-09,TW2523,1,Suitcase,Medium,Black,Carried
T20260409_0008_TW2523,T20260409_0008,2026-04-09,TW2523,1,Backpack,Medium,Black,Stationary
T20260409_0003_TW2523,T20260409_0003,2026-04-09,TW2523,1,Backpack,Large,Brown,Carried
T20260409_0014_TW2523,T20260409_0014,2026-04-09,TW2523,1,Handbag,Large,Red,Carried
T20260409_0001_TW2523,T20260409_0001,2026-04-09,TW2523,1,Box,Medium,Green,Stationary
T20260409_0005_TW2523,T20260409_0005,2026-04-09,TW2523,1,Backpack,Medium,Black,Carried
T20260409_0016_TW2524,T20260409_0016,2026-04-09,TW2524,1,Bag,Medium,Red,Stationary
T20260409_0005_TW2524,T20260409_0005,2026-04-09,TW2524,1,Backpack,Medium,Black,Stationary
T20260409_0017_TW2524,T20260409_0017,2026-04-09,TW2524,1,Bag,Small,Black,Stationary
T20260409_0014_TW2524,T20260409_0014,2026-04-09,TW2524,1,Handbag,Large,Red,Stationary
T20260409_0001_TW2524,T20260409_0001,2026-04-09,TW2524,1,Box,Medium,Green,Carried
T20260409_0003_TW2524,T20260409_0003,2026-04-09,TW2524,1,Backpack,Large,Brown,Stationary
T20260409_0004_TW2524,T20260409_0004,2026-04-09,TW2524,1,Box,Medium,Green,Carried
T20260409_0011_TW2524,T20260409_0011,2026-04-09,TW2524,1,Suitcase,Medium,Blue,Stationary
T20260409_0009_TW2524,T20260409_0009,2026-04-09,TW2524,1,Backpack,Small,Black,Carried
T20260409_0015_TW2524,T20260409_0015,2026-04-09,TW2524,1,Handbag,Small,Black,Stationary
T20260409_0012_TW2524,T20260409_0012,2026-04-09,TW2524,1,Handbag,Large,Green,Stationary
T20260409_0018_TW2524,T20260409_0018,2026-04-09,TW2524,1,Backpack,Large,Gray,Stationary
T20260409_0006_TW2524,T20260409_0006,2026-04-09,TW2524,1,Handbag,Medium,Blue,Stationary
T20260409_0002_TW2524,T20260409_0002,2026-04-09,TW2524,1,Box,Medium,White,Stationary
T20260409_0019_TW2524,T20260409_0019,2026-04-09,TW2524,1,Backpack,Medium,Black,Carried
T20260409_0020_TW2524,T20260409_0020,2026-04-09,TW2524,1,Bag,Small,White,Stationary
T20260409_0008_TW2524,T20260409_0008,2026-04-09,TW2524,1,Backpack,Medium,Black,Carried
T20260409_0010_TW2524,T20260409_0010,2026-04-09,TW2524,1,Suitcase,Medium,Black,Stationary
T20260409_0007_TW2524,T20260409_0007,2026-04-09,TW2524,1,Backpack,Small,Blue,Stationary
T20260409_0013_TW2524,T20260409_0013,2026-04-09,TW2524,1,Backpack,Small,Brown,Stationary
T20260409_0006_TW2525,T20260409_0006,2026-04-09,TW2525,1,Handbag,Medium,Blue,Carried
T20260409_0004_TW2525,T20260409_0004,2026-04-09,TW2525,1,Box,Medium,Green,Carried
T20260409_0013_TW2525,T20260409_0013,2026-04-09,TW2525,1,Backpack,Small,Brown,Carried
T20260409_0018_TW2525,T20260409_0018,2026-04-09,TW2525,1,Backpack,Large,Gray,Stationary
T20260409_0011_TW2525,T20260409_0011,2026-04-09,TW2525,1,Suitcase,Medium,Blue,Stationary
T20260409_0007_TW2525,T20260409_0007,2026-04-09,TW2525,1,Backpack,Small,Blue,Carried
T20260409_0015_TW2525,T20260409_0015,2026-04-09,TW2525,1,Handbag,Small,Black,Carried
T20260409_0008_TW2525,T20260409_0008,2026-04-09,TW2525,1,Backpack,Medium,Black,Carried
T20260409_0020_TW2525,T20260409_0020,2026-04-09,TW2525,1,Bag,Small,White,Carried
T20260409_0012_TW2525,T20260409_0012,2026-04-09,TW2525,1,Handbag,Large,Green,Carried
T20260409_0003_TW2525,T20260409_0003,2026-04-09,TW2525,1,Backpack,Large,Brown,Stationary
T20260409_0010_TW2525,T20260409_0010,2026-04-09,TW2525,1,Suitcase,Medium,Black,Carried
T20260409_0005_TW2525,T20260409_0005,2026-04-09,TW2525,1,Backpack,Medium,Black,Carried
T20260409_0014_TW2525,T20260409_0014,2026-04-09,TW2525,1,Handbag,Large,Red,Carried
T20260409_0019_TW2525,T20260409_0019,2026-04-09,TW2525,1,Backpack,Medium,Black,Stationary
T20260409_0009_TW2525,T20260409_0009,2026-04-09,TW2525,1,Backpack,Small,Black,Carried
T20260409_0016_TW2525,T20260409_0016,2026-04-09,TW2525,1,Bag,Medium,Red,Stationary
T20260409_0017_TW2525,T20260409_0017,2026-04-09,TW2525,1,Bag,Small,Black,Carried
T20260409_0001_TW2525,T20260409_0001,2026-04-09,TW2525,2,Box,Medium,Green,Stationary
T20260409_0002_TW2525,T20260409_0002,2026-04-09,TW2525,2,Box,Medium,White,Stationary
T20260409_0016_TW2526,T20260409_0016,2026-04-09,TW2526,1,Bag,Medium,Red,Stationary
T20260409_0009_TW2526,T20260409_0009,2026-04-09,TW2526,1,Backpack,Small,Black,Stationary
T20260409_0011_TW2526,T20260409_0011,2026-04-09,TW2526,1,Suitcase,Medium,Blue,Stationary
T20260409_0002_TW2526,T20260409_0002,2026-04-09,TW2526,1,Box,Medium,White,Stationary
T20260409_0003_TW2526,T20260409_0003,2026-04-09,TW2526,1,Backpack,Large,Brown,Stationary
T20260409_0005_TW2526,T20260409_0005,2026-04-09,TW2526,1,Backpack,Medium,Black,Stationary
T20260409_0020_TW2526,T20260409_0020,2026-04-09,TW2526,1,Bag,Small,White,Stationary
T20260409_0015_TW2526,T20260409_0015,2026-04-09,TW2526,1,Handbag,Small,Black,Stationary
T20260409_0017_TW2526,T20260409_0017,2026-04-09,TW2526,1,Bag,Small,Black,Carried
T20260409_0012_TW2526,T20260409_0012,2026-04-09,TW2526,1,Handbag,Large,Green,Carried
T20260409_0010_TW2526,T20260409_0010,2026-04-09,TW2526,1,Suitcase,Medium,Black,Carried
T20260409_0001_TW2526,T20260409_0001,2026-04-09,TW2526,1,Box,Medium,Green,Carried
T20260409_0013_TW2526,T20260409_0013,2026-04-09,TW2526,1,Backpack,Small,Brown,Stationary
T20260409_0018_TW2526,T20260409_0018,2026-04-09,TW2526,1,Backpack,Large,Gray,Carried
T20260409_0006_TW2526,T20260409_0006,2026-04-09,TW2526,1,Handbag,Medium,Blue,Carried
T20260409_0014_TW2526,T20260409_0014,2026-04-09,TW2526,1,Handbag,Large,Red,Carried
T20260409_0008_TW2526,T20260409_0008,2026-04-09,TW2526,1,Backpack,Medium,Black,Carried
T20260409_0019_TW2526,T20260409_0019,2026-04-09,TW2526,1,Backpack,Medium,Black,Stationary
T20260409_0004_TW2526,T20260409_0004,2026-04-09,TW2526,1,Box,Medium,Green,Carried
T20260409_0007_TW2526,T20260409_0007,2026-04-09,TW2526,1,Backpack,Small,Blue,Stationary
T20260409_0009_TW2527,T20260409_0009,2026-04-09,TW2527,1,Backpack,Small,Black,Stationary
T20260409_0017_TW2527,T20260409_0017,2026-04-09,TW2527,1,Bag,Small,Black,Carried
T20260409_0005_TW2527,T20260409_0005,2026-04-09,TW2527,1,Backpack,Medium,Black,Stationary
T20260409_0014_TW2527,T20260409_0014,2026-04-09,TW2527,1,Handbag,Large,Red,Carried
T20260409_0012_TW2527,T20260409_0012,2026-04-09,TW2527,1,Handbag,Large,Green,Stationary
T20260409_0019_TW2527,T20260409_0019,2026-04-09,TW2527,1,Backpack,Medium,Black,Stationary
T20260409_0011_TW2527,T20260409_0011,2026-04-09,TW2527,1,Suitcase,Medium,Blue,Stationary
T20260409_0001_TW2527,T20260409_0001,2026-04-09,TW2527,1,Box,Medium,Green,Carried
T20260409_0013_TW2527,T20260409_0013,2026-04-09,TW2527,1,Backpack,Small,Brown,Stationary
T20260409_0016_TW2527,T20260409_0016,2026-04-09,TW2527,1,Bag,Medium,Red,Carried
T20260409_0007_TW2527,T20260409_0007,2026-04-09,TW2527,1,Backpack,Small,Blue,Stationary
T20260409_0020_TW2527,T20260409_0020,2026-04-09,TW2527,1,Bag,Small,White,Stationary
T20260409_0010_TW2527,T20260409_0010,2026-04-09,TW2527,1,Suitcase,Medium,Black,Stationary
T20260409_0002_TW2527,T20260409_0002,2026-04-09,TW2527,1,Box,Medium,White,Stationary
T20260409_0003_TW2527,T20260409_0003,2026-04-09,TW2527,1,Backpack,Large,Brown,Stationary
T20260409_0006_TW2527,T20260409_0006,2026-04-09,TW2527,1,Handbag,Medium,Blue,Carried
T20260409_0004_TW2527,T20260409_0004,2026-04-09,TW2527,1,Box,Medium,Green,Carried
T20260409_0015_TW2527,T20260409_0015,2026-04-09,TW2527,1,Handbag,Small,Black,Stationary
T20260409_0008_TW2527,T20260409_0008,2026-04-09,TW2527,1,Backpack,Medium,Black,Carried
T20260409_0018_TW2527,T20260409_0018,2026-04-09,TW2527,1,Backpack,Large,Gray,Carried
T20260409_0014_TW2528,T20260409_0014,2026-04-09,TW2528,1,Handbag,Large,Red,Stationary
T20260409_0004_TW2528,T20260409_0004,2026-04-09,TW2528,1,Box,Medium,Green,Stationary
T20260409_0019_TW2528,T20260409_0019,2026-04-09,TW2528,1,Backpack,Medium,Black,Stationary
T20260409_0017_TW2528,T20260409_0017,2026-04-09,TW2528,1,Bag,Small,Black,Stationary
T20260409_0015_TW2528,T20260409_0015,2026-04-09,TW2528,1,Handbag,Small,Black,Carried
T20260409_0005_TW2528,T20260409_0005,2026-04-09,TW2528,1,Backpack,Medium,Black,Carried
T20260409_0008_TW2528,T20260409_0008,2026-04-09,TW2528,1,Backpack,Medium,Black,Carried
T20260409_0020_TW2528,T20260409_0020,2026-04-09,TW2528,1,Bag,Small,White,Stationary
T20260409_0007_TW2528,T20260409_0007,2026-04-09,TW2528,1,Backpack,Small,Blue,Carried
T20260409_0002_TW2528,T20260409_0002,2026-04-09,TW2528,1,Box,Medium,White,Stationary
T20260409_0012_TW2528,T20260409_0012,2026-04-09,TW2528,1,Handbag,Large,Green,Carried
T20260409_0018_TW2528,T20260409_0018,2026-04-09,TW2528,1,Backpack,Large,Gray,Carried
T20260409_0010_TW2528,T20260409_0010,2026-04-09,TW2528,1,Suitcase,Medium,Black,Stationary
T20260409_0011_TW2528,T20260409_0011,2026-04-09,TW2528,1,Suitcase,Medium,Blue,Stationary
T20260409_0003_TW2528,T20260409_0003,2026-04-09,TW2528,1,Backpack,Large,Brown,Stationary
T20260409_0009_TW2528,T20260409_0009,2026-04-09,TW2528,1,Backpack,Small,Black,Carried
T20260409_0016_TW2528,T20260409_0016,2026-04-09,TW2528,1,Bag,Medium,Red,Carried
T20260409_0013_TW2528,T20260409_0013,2026-04-09,TW2528,1,Backpack,Small,Brown,Stationary
T20260409_0006_TW2528,T20260409_0006,2026-04-09,TW2528,1,Handbag,Medium,Blue,Carried
T20260409_0001_TW2528,T20260409_0001,2026-04-09,TW2528,1,Box,Medium,Green,Stationary
T20260409_0004_TW2529,T20260409_0004,2026-04-09,TW2529,1,Box,Medium,Green,Stationary
T20260409_0008_TW2529,T20260409_0008,2026-04-09,TW2529,1,Backpack,Medium,Black,Carried
T20260409_0019_TW2529,T20260409_0019,2026-04-09,TW2529,1,Backpack,Medium,Black,Stationary
T20260409_0018_TW2529,T20260409_0018,2026-04-09,TW2529,1,Backpack,Large,Gray,Carried
T20260409_0002_TW2529,T20260409_0002,2026-04-09,TW2529,1,Box,Medium,White,Stationary
T20260409_0020_TW2529,T20260409_0020,2026-04-09,TW2529,1,Bag,Small,White,Carried
T20260409_0012_TW2529,T20260409_0012,2026-04-09,TW2529,1,Handbag,Large,Green,Carried
T20260409_0009_TW2529,T20260409_0009,2026-04-09,TW2529,1,Backpack,Small,Black,Stationary
T20260409_0015_TW2529,T20260409_0015,2026-04-09,TW2529,1,Handbag,Small,Black,Stationary
T20260409_0014_TW2529,T20260409_0014,2026-04-09,TW2529,1,Handbag,Large,Red,Stationary
T20260409_0010_TW2529,T20260409_0010,2026-04-09,TW2529,1,Suitcase,Medium,Black,Stationary
T20260409_0017_TW2529,T20260409_0017,2026-04-09,TW2529,1,Bag,Small,Black,Stationary
T20260409_0011_TW2529,T20260409_0011,2026-04-09,TW2529,1,Suitcase,Medium,Blue,Carried
T20260409_0003_TW2529,T20260409_0003,2026-04-09,TW2529,1,Backpack,Large,Brown,Carried
T20260409_0006_TW2529,T20260409_0006,2026-04-09,TW2529,1,Handbag,Medium,Blue,Carried
T20260409_0005_TW2529,T20260409_0005,2026-04-09,TW2529,1,Backpack,Medium,Black,Stationary
T20260409_0007_TW2529,T20260409_0007,2026-04-09,TW2529,1,Backpack,Small,Blue,Carried
T20260409_0001_TW2529,T20260409_0001,2026-04-09,TW2529,2,Box,Medium,Green,Carried
T20260409_0016_TW2529,T20260409_0016,2026-04-09,TW2529,2,Bag,Medium,Red,Stationary
T20260409_0013_TW2529,T20260409_0013,2026-04-09,TW2529,2,Backpack,Small,Brown,Carried
T20260409_0006_TW2530,T20260409_0006,2026-04-09,TW2530,1,Handbag,Medium,Blue,Carried
T20260409_0011_TW2530,T20260409_0011,2026-04-09,TW2530,1,Suitcase,Medium,Blue,Stationary
T20260409_0012_TW2530,T20260409_0012,2026-04-09,TW2530,1,Handbag,Large,Green,Carried
T20260409_0008_TW2530,T20260409_0008,2026-04-09,TW2530,1,Backpack,Medium,Black,Carried
T20260409_0017_TW2530,T20260409_0017,2026-04-09,TW2530,1,Bag,Small,Black,Carried
T20260409_0004_TW2530,T20260409_0004,2026-04-09,TW2530,1,Box,Medium,Green,Stationary
T20260409_0016_TW2530,T20260409_0016,2026-04-09,TW2530,1,Bag,Medium,Red,Carried
T20260409_0018_TW2530,T20260409_0018,2026-04-09,TW2530,1,Backpack,Large,Gray,Carried
T20260409_0007_TW2530,T20260409_0007,2026-04-09,TW2530,1,Backpack,Small,Blue,Stationary
T20260409_0009_TW2530,T20260409_0009,2026-04-09,TW2530,1,Backpack,Small,Black,Carried
T20260409_0020_TW2530,T20260409_0020,2026-04-09,TW2530,1,Bag,Small,White,Stationary
T20260409_0019_TW2530,T20260409_0019,2026-04-09,TW2530,1,Backpack,Medium,Black,Stationary
T20260409_0005_TW2530,T20260409_0005,2026-04-09,TW2530,1,Backpack,Medium,Black,Carried
T20260409_0013_TW2530,T20260409_0013,2026-04-09,TW2530,1,Backpack,Small,Brown,Stationary
T20260409_0010_TW2530,T20260409_0010,2026-04-09,TW2530,1,Suitcase,Medium,Black,Carried
T20260409_0015_TW2530,T20260409_0015,2026-04-09,TW2530,2,Handbag,Small,Black,Carried
T20260409_0002_TW2530,T20260409_0002,2026-04-09,TW2530,2,Box,Medium,White,Carried
T20260409_0001_TW2530,T20260409_0001,2026-04-09,TW2530,2,Box,Medium,Green,Stationary
T20260409_0014_TW2530,T20260409_0014,2026-04-09,TW2530,2,Handbag,Large,Red,Carried
T20260409_0003_TW2530,T20260409_0003,2026-04-09,TW2530,2,Backpack,Large,Brown,Stationary
T20260409_0017_TW2531,T20260409_0017,2026-04-09,TW2531,1,Bag,Small,Black,Stationary
T20260409_0007_TW2531,T20260409_0007,2026-04-09,TW2531,1,Backpack,Small,Blue,Carried
T20260409_0004_TW2531,T20260409_0004,2026-04-09,TW2531,1,Box,Medium,Green,Carried
T20260409_0018_TW2531,T20260409_0018,2026-04-09,TW2531,1,Backpack,Large,Gray,Carried
T20260409_0012_TW2531,T20260409_0012,2026-04-09,TW2531,1,Handbag,Large,Green,Stationary
T20260409_0005_TW2531,T20260409_0005,2026-04-09,TW2531,1,Backpack,Medium,Black,Stationary
T20260409_0002_TW2531,T20260409_0002,2026-04-09,TW2531,1,Box,Medium,White,Carried
T20260409_0009_TW2531,T20260409_0009,2026-04-09,TW2531,1,Backpack,Small,Black,Stationary
T20260409_0013_TW2531,T20260409_0013,2026-04-09,TW2531,1,Backpack,Small,Brown,Stationary
T20260409_0014_TW2531,T20260409_0014,2026-04-09,TW2531,1,Handbag,Large,Red,Stationary
T20260409_0008_TW2531,T20260409_0008,2026-04-09,TW2531,1,Backpack,Medium,Black,Carried
T20260409_0020_TW2531,T20260409_0020,2026-04-09,TW2531,1,Bag,Small,White,Stationary
T20260409_0006_TW2531,T20260409_0006,2026-04-09,TW2531,1,Handbag,Medium,Blue,Stationary
T20260409_0003_TW2531,T20260409_0003,2026-04-09,TW2531,1,Backpack,Large,Brown,Stationary
T20260409_0016_TW2531,T20260409_0016,2026-04-09,TW2531,1,Bag,Medium,Red,Stationary
T20260409_0010_TW2531,T20260409_0010,2026-04-09,TW2531,1,Suitcase,Medium,Black,Stationary
T20260409_0015_TW2531,T20260409_0015,2026-04-09,TW2531,1,Handbag,Small,Black,Carried
T20260409_0019_TW2531,T20260409_0019,2026-04-09,TW2531,1,Backpack,Medium,Black,Stationary
T20260409_0011_TW2531,T20260409_0011,2026-04-09,TW2531,1,Suitcase,Medium,Blue,Stationary
T20260409_0001_TW2531,T20260409_0001,2026-04-09,TW2531,1,Box,Medium,Green,Stationary
T20260409_0002_TW2532,T20260409_0002,2026-04-09,TW2532,1,Box,Medium,White,Stationary
T20260409_0018_TW2532,T20260409_0018,2026-04-09,TW2532,1,Backpack,Large,Gray,Carried
T20260409_0003_TW2532,T20260409_0003,2026-04-09,TW2532,1,Backpack,Large,Brown,Stationary
T20260409_0007_TW2532,T20260409_0007,2026-04-09,TW2532,1,Backpack,Small,Blue,Carried
T20260409_0019_TW2532,T20260409_0019,2026-04-09,TW2532,1,Backpack,Medium,Black,Stationary
T20260409_0008_TW2532,T20260409_0008,2026-04-09,TW2532,1,Backpack,Medium,Black,Carried
T20260409_0015_TW2532,T20260409_0015,2026-04-09,TW2532,1,Handbag,Small,Black,Carried
T20260409_0010_TW2532,T20260409_0010,2026-04-09,TW2532,1,Suitcase,Medium,Black,Stationary
T20260409_0020_TW2532,T20260409_0020,2026-04-09,TW2532,1,Bag,Small,White,Carried
T20260409_0012_TW2532,T20260409_0012,2026-04-09,TW2532,1,Handbag,Large,Green,Carried
T20260409_0014_TW2532,T20260409_0014,2026-04-09,TW2532,1,Handbag,Large,Red,Stationary
T20260409_0016_TW2532,T20260409_0016,2026-04-09,TW2532,1,Bag,Medium,Red,Stationary
T20260409_0001_TW2532,T20260409_0001,2026-04-09,TW2532,1,Box,Medium,Green,Carried
T20260409_0017_TW2532,T20260409_0017,2026-04-09,TW2532,1,Bag,Small,Black,Carried
T20260409_0006_TW2532,T20260409_0006,2026-04-09,TW2532,1,Handbag,Medium,Blue,Stationary
T20260409_0011_TW2532,T20260409_0011,2026-04-09,TW2532,1,Suitcase,Medium,Blue,Stationary
T20260409_0009_TW2532,T20260409_0009,2026-04-09,TW2532,1,Backpack,Small,Black,Carried
T20260409_0013_TW2532,T20260409_0013,2026-04-09,TW2532,1,Backpack,Small,Brown,Stationary
T20260409_0005_TW2532,T20260409_0005,2026-04-09,TW2532,1,Backpack,Medium,Black,Carried
T20260409_0004_TW2532,T20260409_0004,2026-04-09,TW2532,1,Box,Medium,Green,Carried
T20260409_0004_TW2533,T20260409_0004,2026-04-09,TW2533,1,Box,Medium,Green,Carried
T20260409_0005_TW2533,T20260409_0005,2026-04-09,TW2533,1,Backpack,Medium,Black,Stationary
T20260409_0002_TW2533,T20260409_0002,2026-04-09,TW2533,1,Box,Medium,White,Stationary
T20260409_0011_TW2533,T20260409_0011,2026-04-09,TW2533,1,Suitcase,Medium,Blue,Carried
T20260409_0017_TW2533,T20260409_0017,2026-04-09,TW2533,1,Bag,Small,Black,Stationary
T20260409_0018_TW2533,T20260409_0018,2026-04-09,TW2533,1,Backpack,Large,Gray,Stationary
T20260409_0019_TW2533,T20260409_0019,2026-04-09,TW2533,1,Backpack,Medium,Black,Carried
T20260409_0003_TW2533,T20260409_0003,2026-04-09,TW2533,1,Backpack,Large,Brown,Stationary
T20260409_0012_TW2533,T20260409_0012,2026-04-09,TW2533,1,Handbag,Large,Green,Stationary
T20260409_0015_TW2533,T20260409_0015,2026-04-09,TW2533,1,Handbag,Small,Black,Carried
T20260409_0013_TW2533,T20260409_0013,2026-04-09,TW2533,1,Backpack,Small,Brown,Carried
T20260409_0007_TW2533,T20260409_0007,2026-04-09,TW2533,1,Backpack,Small,Blue,Carried
T20260409_0009_TW2533,T20260409_0009,2026-04-09,TW2533,1,Backpack,Small,Black,Stationary
