entity_tw_id,ts_start,ts_end,video_id,camera_id,location_id
P20260409_0001_TW2548,2026-04-09 07:04:42,2026-04-09 07:04:49,V_C002_20260409_070000,C002,L001
P20260409_0001_TW2549,2026-04-09 07:04:51,2026-04-09 07:04:59,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2550,2026-04-09 07:05:01,2026-04-09 07:05:09,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2551,2026-04-09 07:05:12,2026-04-09 07:05:19,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2552,2026-04-09 07:05:22,2026-04-09 07:05:24,V_C003_20260409_070500,C003,L002
P20260409_0001_TW2553,2026-04-09 07:05:31,2026-04-09 07:05:38,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2554,2026-04-09 07:05:44,2026-04-09 07:05:49,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2555,2026-04-09 07:05:56,2026-04-09 07:05:59,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2556,2026-04-09 07:06:04,2026-04-09 07:06:09,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2557,2026-04-09 07:06:14,2026-04-09 07:06:15,V_C003_20260409_070500,C003,L002
P20260409_0001_TW2558,2026-04-09 07:06:22,2026-04-09 07:06:27,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2559,2026-04-09 07:06:35,2026-04-09 07:06:37,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2560,2026-04-09 07:06:46,2026-04-09 07:06:49,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2561,2026-04-09 07:06:53,2026-04-09 07:06:56,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2562,2026-04-09 07:07:01,2026-04-09 07:07:06,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2563,2026-04-09 07:07:11,2026-04-09 07:07:19,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2564,2026-04-09 07:07:22,2026-04-09 07:07:24,V_C003_20260409_070500,C003,L002
P20260409_0001_TW2565,2026-04-09 07:07:34,2026-04-09 07:07:39,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2566,2026-04-09 07:07:44,2026-04-09 07:07:47,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2567,2026-04-09 07:07:52,2026-04-09 07:08:00,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2568,2026-04-09 07:08:01,2026-04-09 07:08:03,V_C003_20260409_070500,C003,L002
P20260409_0001_TW2569,2026-04-09 07:08:11,2026-04-09 07:08:15,V_C003_20260409_070500,C003,L002
P20260409_0001_TW2570,2026-04-09 07:08:23,2026-04-09 07:08:30,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2571,2026-04-09 07:08:34,2026-04-09 07:08:35,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2572,2026-04-09 07:08:40,2026-04-09 07:08:48,V_C003_20260409_070500,C003,L002
P20260409_0001_TW2573,2026-04-09 07:08:53,2026-04-09 07:08:54,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2574,2026-04-09 07:09:02,2026-04-09 07:09:04,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2575,2026-04-09 07:09:10,2026-04-09 07:09:12,V_C003_20260409_070500,C003,L002
P20260409_0001_TW2576,2026-04-09 07:09:26,2026-04-09 07:09:30,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2577,2026-04-09 07:09:30,2026-04-09 07:09:36,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2578,2026-04-09 07:09:45,2026-04-09 07:09:48,V_C002_20260409_070500,C002,L001
P20260409_0001_TW2579,2026-04-09 07:09:50,2026-04-09 07:09:58,V_C001_20260409_070500,C001,L001
P20260409_0001_TW2580,2026-04-09 07:10:04,2026-04-09 07:10:08,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2581,2026-04-09 07:10:11,2026-04-09 07:10:17,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2582,2026-04-09 07:10:23,2026-04-09 07:10:27,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2583,2026-04-09 07:10:30,2026-04-09 07:10:38,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2584,2026-04-09 07:10:44,2026-04-09 07:10:48,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2585,2026-04-09 07:10:51,2026-04-09 07:10:59,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2586,2026-04-09 07:11:06,2026-04-09 07:11:09,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2587,2026-04-09 07:11:11,2026-04-09 07:11:13,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2588,2026-04-09 07:11:27,2026-04-09 07:11:29,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2589,2026-04-09 07:11:34,2026-04-09 07:11:39,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2590,2026-04-09 07:11:48,2026-04-09 07:11:49,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2591,2026-04-09 07:11:51,2026-04-09 07:11:57,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2592,2026-04-09 07:12:02,2026-04-09 07:12:08,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2593,2026-04-09 07:12:16,2026-04-09 07:12:20,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2594,2026-04-09 07:12:28,2026-04-09 07:12:29,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2595,2026-04-09 07:12:36,2026-04-09 07:12:40,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2596,2026-04-09 07:12:40,2026-04-09 07:12:43,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2597,2026-04-09 07:12:52,2026-04-09 07:12:56,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2598,2026-04-09 07:13:01,2026-04-09 07:13:05,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2599,2026-04-09 07:13:11,2026-04-09 07:13:13,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2600,2026-04-09 07:13:20,2026-04-09 07:13:22,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2601,2026-04-09 07:13:31,2026-04-09 07:13:39,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2602,2026-04-09 07:13:40,2026-04-09 07:13:48,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2603,2026-04-09 07:13:51,2026-04-09 07:13:56,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2604,2026-04-09 07:14:02,2026-04-09 07:14:09,V_C003_20260409_071000,C003,L002
P20260409_0001_TW2605,2026-04-09 07:14:18,2026-04-09 07:14:19,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2606,2026-04-09 07:14:23,2026-04-09 07:14:29,V_C002_20260409_071000,C002,L001
P20260409_0001_TW2607,2026-04-09 07:14:39,2026-04-09 07:14:40,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2608,2026-04-09 07:14:47,2026-04-09 07:14:49,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2609,2026-04-09 07:14:51,2026-04-09 07:14:58,V_C001_20260409_071000,C001,L001
P20260409_0001_TW2610,2026-04-09 07:15:03,2026-04-09 07:15:04,V_C003_20260409_071500,C003,L002
P20260409_0001_TW2611,2026-04-09 07:15:10,2026-04-09 07:15:14,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2612,2026-04-09 07:15:23,2026-04-09 07:15:25,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2613,2026-04-09 07:15:30,2026-04-09 07:15:35,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2614,2026-04-09 07:15:47,2026-04-09 07:15:49,V_C004_20260409_071500,C004,L002
P20260409_0001_TW2615,2026-04-09 07:15:50,2026-04-09 07:15:55,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2616,2026-04-09 07:16:01,2026-04-09 07:16:08,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2617,2026-04-09 07:16:15,2026-04-09 07:16:18,V_C003_20260409_071500,C003,L002
P20260409_0001_TW2618,2026-04-09 07:16:20,2026-04-09 07:16:26,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2619,2026-04-09 07:16:35,2026-04-09 07:16:39,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2620,2026-04-09 07:16:42,2026-04-09 07:16:47,V_C003_20260409_071500,C003,L002
P20260409_0001_TW2621,2026-04-09 07:16:51,2026-04-09 07:16:56,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2622,2026-04-09 07:17:03,2026-04-09 07:17:09,V_C003_20260409_071500,C003,L002
P20260409_0001_TW2623,2026-04-09 07:17:12,2026-04-09 07:17:20,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2624,2026-04-09 07:17:22,2026-04-09 07:17:30,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2625,2026-04-09 07:17:30,2026-04-09 07:17:37,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2626,2026-04-09 07:17:48,2026-04-09 07:17:49,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2627,2026-04-09 07:17:50,2026-04-09 07:17:52,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2628,2026-04-09 07:18:03,2026-04-09 07:18:05,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2629,2026-04-09 07:18:16,2026-04-09 07:18:20,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2630,2026-04-09 07:18:22,2026-04-09 07:18:27,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2631,2026-04-09 07:18:32,2026-04-09 07:18:40,V_C003_20260409_071500,C003,L002
P20260409_0001_TW2632,2026-04-09 07:18:41,2026-04-09 07:18:45,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2633,2026-04-09 07:18:50,2026-04-09 07:18:58,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2634,2026-04-09 07:19:01,2026-04-09 07:19:05,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2635,2026-04-09 07:19:11,2026-04-09 07:19:19,V_C003_20260409_071500,C003,L002
P20260409_0001_TW2636,2026-04-09 07:19:25,2026-04-09 07:19:28,V_C002_20260409_071500,C002,L001
P20260409_0001_TW2637,2026-04-09 07:19:36,2026-04-09 07:19:38,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2638,2026-04-09 07:19:43,2026-04-09 07:19:47,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2639,2026-04-09 07:19:51,2026-04-09 07:19:59,V_C001_20260409_071500,C001,L001
P20260409_0001_TW2640,2026-04-09 07:20:07,2026-04-09 07:20:09,V_C004_20260409_072000,C004,L002
P20260409_0001_TW2641,2026-04-09 07:20:11,2026-04-09 07:20:12,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2642,2026-04-09 07:20:26,2026-04-09 07:20:27,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2643,2026-04-09 07:20:38,2026-04-09 07:20:40,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2644,2026-04-09 07:20:40,2026-04-09 07:20:42,V_C003_20260409_072000,C003,L002
P20260409_0001_TW2645,2026-04-09 07:20:52,2026-04-09 07:21:00,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2646,2026-04-09 07:21:06,2026-04-09 07:21:09,V_C003_20260409_072000,C003,L002
P20260409_0001_TW2647,2026-04-09 07:21:10,2026-04-09 07:21:17,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2648,2026-04-09 07:21:20,2026-04-09 07:21:26,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2649,2026-04-09 07:21:38,2026-04-09 07:21:40,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2650,2026-04-09 07:21:41,2026-04-09 07:21:48,V_C003_20260409_072000,C003,L002
P20260409_0001_TW2651,2026-04-09 07:21:52,2026-04-09 07:21:55,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2652,2026-04-09 07:22:01,2026-04-09 07:22:03,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2653,2026-04-09 07:22:13,2026-04-09 07:22:18,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2654,2026-04-09 07:22:23,2026-04-09 07:22:30,V_C005_20260409_072000,C005,L003
P20260409_0001_TW2655,2026-04-09 07:22:34,2026-04-09 07:22:35,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2656,2026-04-09 07:22:43,2026-04-09 07:22:45,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2657,2026-04-09 07:22:50,2026-04-09 07:22:53,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2658,2026-04-09 07:23:00,2026-04-09 07:23:08,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2659,2026-04-09 07:23:10,2026-04-09 07:23:17,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2660,2026-04-09 07:23:21,2026-04-09 07:23:24,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2661,2026-04-09 07:23:30,2026-04-09 07:23:37,V_C003_20260409_072000,C003,L002
P20260409_0001_TW2662,2026-04-09 07:23:48,2026-04-09 07:23:49,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2663,2026-04-09 07:23:56,2026-04-09 07:24:00,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2664,2026-04-09 07:24:02,2026-04-09 07:24:08,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2665,2026-04-09 07:24:12,2026-04-09 07:24:17,V_C001_20260409_072000,C001,L001
P20260409_0001_TW2666,2026-04-09 07:24:22,2026-04-09 07:24:29,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2667,2026-04-09 07:24:30,2026-04-09 07:24:31,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2668,2026-04-09 07:24:43,2026-04-09 07:24:50,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2669,2026-04-09 07:24:57,2026-04-09 07:24:59,V_C002_20260409_072000,C002,L001
P20260409_0001_TW2670,2026-04-09 07:25:03,2026-04-09 07:25:04,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2671,2026-04-09 07:25:11,2026-04-09 07:25:19,V_C003_20260409_072500,C003,L002
P20260409_0001_TW2672,2026-04-09 07:25:26,2026-04-09 07:25:28,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2673,2026-04-09 07:25:31,2026-04-09 07:25:32,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2674,2026-04-09 07:25:45,2026-04-09 07:25:47,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2675,2026-04-09 07:25:53,2026-04-09 07:25:56,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2676,2026-04-09 07:26:00,2026-04-09 07:26:06,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2677,2026-04-09 07:26:12,2026-04-09 07:26:20,V_C004_20260409_072500,C004,L002
P20260409_0001_TW2678,2026-04-09 07:26:23,2026-04-09 07:26:26,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2679,2026-04-09 07:26:30,2026-04-09 07:26:36,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2680,2026-04-09 07:26:41,2026-04-09 07:26:49,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2681,2026-04-09 07:26:51,2026-04-09 07:26:57,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2682,2026-04-09 07:27:01,2026-04-09 07:27:07,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2683,2026-04-09 07:27:12,2026-04-09 07:27:19,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2684,2026-04-09 07:27:25,2026-04-09 07:27:28,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2685,2026-04-09 07:27:34,2026-04-09 07:27:38,V_C003_20260409_072500,C003,L002
P20260409_0001_TW2686,2026-04-09 07:27:41,2026-04-09 07:27:48,V_C003_20260409_072500,C003,L002
P20260409_0001_TW2687,2026-04-09 07:27:51,2026-04-09 07:27:54,V_C003_20260409_072500,C003,L002
P20260409_0001_TW2688,2026-04-09 07:28:01,2026-04-09 07:28:04,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2689,2026-04-09 07:28:10,2026-04-09 07:28:13,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2690,2026-04-09 07:28:20,2026-04-09 07:28:26,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2691,2026-04-09 07:28:33,2026-04-09 07:28:40,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2692,2026-04-09 07:28:41,2026-04-09 07:28:47,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2693,2026-04-09 07:28:58,2026-04-09 07:29:00,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2694,2026-04-09 07:29:01,2026-04-09 07:29:09,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2695,2026-04-09 07:29:10,2026-04-09 07:29:11,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2696,2026-04-09 07:29:21,2026-04-09 07:29:29,V_C001_20260409_072500,C001,L001
P20260409_0001_TW2697,2026-04-09 07:29:31,2026-04-09 07:29:33,V_C003_20260409_072500,C003,L002
P20260409_0001_TW2698,2026-04-09 07:29:45,2026-04-09 07:29:49,V_C003_20260409_072500,C003,L002
P20260409_0001_TW2699,2026-04-09 07:29:55,2026-04-09 07:29:59,V_C002_20260409_072500,C002,L001
P20260409_0001_TW2700,2026-04-09 07:30:00,2026-04-09 07:30:01,V_C003_20260409_073000,C003,L002
P20260409_0001_TW2701,2026-04-09 07:30:11,2026-04-09 07:30:12,V_C001_20260409_073000,C001,L001
P20260409_0001_TW2702,2026-04-09 07:30:21,2026-04-09 07:30:25,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2703,2026-04-09 07:30:35,2026-04-09 07:30:40,V_C003_20260409_073000,C003,L002
P20260409_0001_TW2704,2026-04-09 07:30:42,2026-04-09 07:30:50,V_C001_20260409_073000,C001,L001
P20260409_0001_TW2705,2026-04-09 07:30:50,2026-04-09 07:30:53,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2706,2026-04-09 07:31:07,2026-04-09 07:31:09,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2707,2026-04-09 07:31:10,2026-04-09 07:31:17,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2708,2026-04-09 07:31:21,2026-04-09 07:31:28,V_C003_20260409_073000,C003,L002
P20260409_0001_TW2709,2026-04-09 07:31:33,2026-04-09 07:31:37,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2710,2026-04-09 07:31:41,2026-04-09 07:31:49,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2711,2026-04-09 07:31:54,2026-04-09 07:31:56,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2712,2026-04-09 07:32:02,2026-04-09 07:32:10,V_C003_20260409_073000,C003,L002
P20260409_0001_TW2713,2026-04-09 07:32:10,2026-04-09 07:32:18,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2714,2026-04-09 07:32:28,2026-04-09 07:32:30,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2715,2026-04-09 07:32:32,2026-04-09 07:32:35,V_C001_20260409_073000,C001,L001
P20260409_0001_TW2716,2026-04-09 07:32:40,2026-04-09 07:32:44,V_C001_20260409_073000,C001,L001
P20260409_0001_TW2717,2026-04-09 07:32:56,2026-04-09 07:32:59,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2718,2026-04-09 07:33:01,2026-04-09 07:33:09,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2719,2026-04-09 07:33:13,2026-04-09 07:33:17,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2720,2026-04-09 07:33:23,2026-04-09 07:33:30,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2721,2026-04-09 07:33:32,2026-04-09 07:33:39,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2722,2026-04-09 07:33:40,2026-04-09 07:33:48,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2723,2026-04-09 07:33:59,2026-04-09 07:34:00,V_C001_20260409_073000,C001,L001
P20260409_0001_TW2724,2026-04-09 07:34:01,2026-04-09 07:34:06,V_C003_20260409_073000,C003,L002
P20260409_0001_TW2725,2026-04-09 07:34:10,2026-04-09 07:34:17,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2726,2026-04-09 07:34:25,2026-04-09 07:34:27,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2727,2026-04-09 07:34:32,2026-04-09 07:34:40,V_C003_20260409_073000,C003,L002
P20260409_0001_TW2728,2026-04-09 07:34:40,2026-04-09 07:34:47,V_C002_20260409_073000,C002,L001
P20260409_0001_TW2729,2026-04-09 07:34:53,2026-04-09 07:34:59,V_C003_20260409_073000,C003,L002
P20260409_0001_TW2730,2026-04-09 07:35:01,2026-04-09 07:35:04,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2731,2026-04-09 07:35:14,2026-04-09 07:35:19,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2732,2026-04-09 07:35:20,2026-04-09 07:35:27,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2733,2026-04-09 07:35:31,2026-04-09 07:35:39,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2734,2026-04-09 07:35:41,2026-04-09 07:35:49,V_C002_20260409_073500,C002,L001
P20260409_0001_TW2735,2026-04-09 07:35:57,2026-04-09 07:35:59,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2736,2026-04-09 07:36:02,2026-04-09 07:36:09,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2737,2026-04-09 07:36:16,2026-04-09 07:36:20,V_C002_20260409_073500,C002,L001
P20260409_0001_TW2738,2026-04-09 07:36:20,2026-04-09 07:36:26,V_C002_20260409_073500,C002,L001
P20260409_0001_TW2739,2026-04-09 07:36:30,2026-04-09 07:36:38,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2740,2026-04-09 07:36:42,2026-04-09 07:36:49,V_C002_20260409_073500,C002,L001
P20260409_0001_TW2741,2026-04-09 07:36:52,2026-04-09 07:37:00,V_C002_20260409_073500,C002,L001
P20260409_0001_TW2742,2026-04-09 07:37:05,2026-04-09 07:37:09,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2743,2026-04-09 07:37:15,2026-04-09 07:37:19,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2744,2026-04-09 07:37:21,2026-04-09 07:37:28,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2745,2026-04-09 07:37:33,2026-04-09 07:37:37,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2746,2026-04-09 07:37:47,2026-04-09 07:37:50,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2747,2026-04-09 07:37:56,2026-04-09 07:38:00,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2748,2026-04-09 07:38:00,2026-04-09 07:38:04,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2749,2026-04-09 07:38:13,2026-04-09 07:38:18,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2750,2026-04-09 07:38:27,2026-04-09 07:38:29,V_C002_20260409_073500,C002,L001
P20260409_0001_TW2751,2026-04-09 07:38:32,2026-04-09 07:38:40,V_C002_20260409_073500,C002,L001
P20260409_0001_TW2752,2026-04-09 07:38:40,2026-04-09 07:38:46,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2753,2026-04-09 07:38:52,2026-04-09 07:38:53,V_C004_20260409_073500,C004,L002
P20260409_0001_TW2754,2026-04-09 07:39:00,2026-04-09 07:39:05,V_C003_20260409_073500,C003,L002
P20260409_0001_TW2755,2026-04-09 07:39:14,2026-04-09 07:39:18,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2756,2026-04-09 07:39:23,2026-04-09 07:39:30,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2757,2026-04-09 07:39:31,2026-04-09 07:39:32,V_C002_20260409_073500,C002,L001
P20260409_0001_TW2758,2026-04-09 07:39:43,2026-04-09 07:39:44,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2759,2026-04-09 07:39:54,2026-04-09 07:39:56,V_C001_20260409_073500,C001,L001
P20260409_0001_TW2760,2026-04-09 07:40:07,2026-04-09 07:40:09,V_C003_20260409_074000,C003,L002
P20260409_0001_TW2761,2026-04-09 07:40:11,2026-04-09 07:40:17,V_C003_20260409_074000,C003,L002
P20260409_0001_TW2762,2026-04-09 07:40:24,2026-04-09 07:40:27,V_C002_20260409_074000,C002,L001
P20260409_0001_TW2763,2026-04-09 07:40:31,2026-04-09 07:40:37,V_C001_20260409_074000,C001,L001
