source_id,destination_id,type,ts_start,ts_end,date,tw_id,partition_id,camera_id,location_id,confidence,bbox,description
V_C004_20260409_070500,V_C004_20260409_071000,NEXT_TO,2026-04-09 07:10:00,2026-04-09 07:10:01,2026-04-09,,2,,,,,
V_C004_20260409_071000,V_C004_20260409_071500,NEXT_TO,2026-04-09 07:15:00,2026-04-09 07:15:01,2026-04-09,,2,,,,,
V_C004_20260409_071500,V_C004_20260409_072000,NEXT_TO,2026-04-09 07:20:00,2026-04-09 07:20:01,2026-04-09,,2,,,,,
V_C004_20260409_072000,V_C004_20260409_072500,NEXT_TO,2026-04-09 07:25:00,2026-04-09 07:25:01,2026-04-09,,2,,,,,
V_C004_20260409_072500,V_C004_20260409_073000,NEXT_TO,2026-04-09 07:30:00,2026-04-09 07:30:01,2026-04-09,,2,,,,,
V_C004_20260409_073000,V_C004_20260409_073500,NEXT_TO,2026-04-09 07:35:00,2026-04-09 07:35:01,2026-04-09,,2,,,,,
V_C004_20260409_073500,V_C004_20260409_074000,NEXT_TO,2026-04-09 07:40:00,2026-04-09 07:40:01,2026-04-09,,2,,,,,
V_C004_20260409_074000,V_C004_20260409_074500,NEXT_TO,2026-04-09 07:45:00,2026-04-09 07:45:01,2026-04-09,,2,,,,,
V_C004_20260409_074500,V_C004_20260409_075000,NEXT_TO,2026-04-09 07:50:00,2026-04-09 07:50:01,2026-04-09,,2,,,,,
V_C004_20260409_075000,V_C004_20260409_075500,NEXT_TO,2026-04-09 07:55:00,2026-04-09 07:55:01,2026-04-09,,2,,,,,
C003,L002,LOCATED_AT,,,,,2,C003,L002,,,
V_C003_20260409_070000,C003,RECORDED_BY,2026-04-09 07:00:00,2026-04-09 07:05:00,2026-04-09,,2,C003,L002,,,
P20260409_0032_TW2520,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:00,2026-04-09 07:00:03,2026-04-09,TW2520,2,C003,L002,0.795,"{""x"": 654, ""y"": 471, ""w"": 142, ""h"": 385}",
P20260409_0035_TW2520,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:08,2026-04-09 07:00:10,2026-04-09,TW2520,2,C003,L002,0.772,"{""x"": 132, ""y"": 665, ""w"": 58, ""h"": 326}",
P20260409_0018_TW2520,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:01,2026-04-09 07:00:07,2026-04-09,TW2520,2,C003,L002,0.777,"{""x"": 172, ""y"": 213, ""w"": 74, ""h"": 295}",
P20260409_0028_TW2520,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:02,2026-04-09 07:00:10,2026-04-09,TW2520,2,C003,L002,0.739,"{""x"": 943, ""y"": 635, ""w"": 278, ""h"": 200}",
P20260409_0003_TW2520,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:04,2026-04-09 07:00:06,2026-04-09,TW2520,2,C003,L002,0.808,"{""x"": 533, ""y"": 203, ""w"": 162, ""h"": 206}",
VH20260409_0009_TW2520,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:03,2026-04-09 07:00:06,2026-04-09,TW2520,2,C003,L002,0.782,"{""x"": 1184, ""y"": 192, ""w"": 133, ""h"": 113}",
VH20260409_0004_TW2520,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:02,2026-04-09 07:00:09,2026-04-09,TW2520,2,C003,L002,0.888,"{""x"": 205, ""y"": 669, ""w"": 168, ""h"": 98}",
C004,L002,LOCATED_AT,,,,,2,C004,L002,,,
V_C004_20260409_070000,C004,RECORDED_BY,2026-04-09 07:00:00,2026-04-09 07:05:00,2026-04-09,,2,C004,L002,,,
P20260409_0019_TW2521,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:11,2026-04-09 07:00:14,2026-04-09,TW2521,2,C003,L002,0.757,"{""x"": 436, ""y"": 543, ""w"": 70, ""h"": 304}",
P20260409_0046_TW2521,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:18,2026-04-09 07:00:20,2026-04-09,TW2521,2,C003,L002,0.768,"{""x"": 285, ""y"": 484, ""w"": 176, ""h"": 365}",
P20260409_0021_TW2521,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:17,2026-04-09 07:00:18,2026-04-09,TW2521,2,C003,L002,0.903,"{""x"": 504, ""y"": 510, ""w"": 92, ""h"": 356}",
P20260409_0037_TW2521,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:12,2026-04-09 07:00:13,2026-04-09,TW2521,2,C003,L002,0.902,"{""x"": 1019, ""y"": 681, ""w"": 125, ""h"": 318}",
P20260409_0011_TW2521,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:13,2026-04-09 07:00:19,2026-04-09,TW2521,2,C003,L002,0.752,"{""x"": 738, ""y"": 651, ""w"": 215, ""h"": 94}",
P20260409_0020_TW2521,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:19,2026-04-09 07:00:20,2026-04-09,TW2521,2,C003,L002,0.934,"{""x"": 192, ""y"": 522, ""w"": 173, ""h"": 328}",
P20260409_0019_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:24,2026-04-09 07:00:28,2026-04-09,TW2522,2,C003,L002,0.938,"{""x"": 1060, ""y"": 97, ""w"": 239, ""h"": 323}",
P20260409_0025_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:25,2026-04-09 07:00:30,2026-04-09,TW2522,2,C003,L002,0.82,"{""x"": 211, ""y"": 4, ""w"": 155, ""h"": 361}",
P20260409_0037_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:27,2026-04-09 07:00:29,2026-04-09,TW2522,2,C003,L002,0.821,"{""x"": 572, ""y"": 636, ""w"": 205, ""h"": 136}",
P20260409_0004_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:23,2026-04-09 07:00:30,2026-04-09,TW2522,2,C003,L002,0.91,"{""x"": 599, ""y"": 361, ""w"": 150, ""h"": 349}",
P20260409_0027_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:22,2026-04-09 07:00:29,2026-04-09,TW2522,2,C003,L002,0.787,"{""x"": 1099, ""y"": 311, ""w"": 255, ""h"": 154}",
P20260409_0023_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:23,2026-04-09 07:00:30,2026-04-09,TW2522,2,C003,L002,0.938,"{""x"": 676, ""y"": 331, ""w"": 298, ""h"": 391}",
P20260409_0044_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:22,2026-04-09 07:00:26,2026-04-09,TW2522,2,C003,L002,0.958,"{""x"": 21, ""y"": 26, ""w"": 62, ""h"": 211}",
P20260409_0021_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:21,2026-04-09 07:00:29,2026-04-09,TW2522,2,C003,L002,0.856,"{""x"": 895, ""y"": 529, ""w"": 261, ""h"": 344}",
P20260409_0043_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:23,2026-04-09 07:00:30,2026-04-09,TW2522,2,C003,L002,0.872,"{""x"": 719, ""y"": 463, ""w"": 292, ""h"": 85}",
P20260409_0041_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:28,2026-04-09 07:00:30,2026-04-09,TW2522,2,C003,L002,0.809,"{""x"": 821, ""y"": 664, ""w"": 193, ""h"": 373}",
P20260409_0020_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:23,2026-04-09 07:00:26,2026-04-09,TW2522,2,C003,L002,0.816,"{""x"": 1279, ""y"": 601, ""w"": 137, ""h"": 351}",
P20260409_0011_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:22,2026-04-09 07:00:24,2026-04-09,TW2522,2,C003,L002,0.984,"{""x"": 636, ""y"": 524, ""w"": 94, ""h"": 136}",
P20260409_0014_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:25,2026-04-09 07:00:30,2026-04-09,TW2522,2,C003,L002,0.883,"{""x"": 1073, ""y"": 296, ""w"": 258, ""h"": 341}",
P20260409_0034_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:24,2026-04-09 07:00:28,2026-04-09,TW2522,2,C003,L002,0.753,"{""x"": 1290, ""y"": 578, ""w"": 204, ""h"": 134}",
P20260409_0016_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:24,2026-04-09 07:00:30,2026-04-09,TW2522,2,C003,L002,0.901,"{""x"": 21, ""y"": 2, ""w"": 128, ""h"": 363}",
T20260409_0017_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:24,2026-04-09 07:00:25,2026-04-09,TW2522,2,C003,L002,0.944,"{""x"": 1200, ""y"": 15, ""w"": 221, ""h"": 95}",
T20260409_0007_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:21,2026-04-09 07:00:25,2026-04-09,TW2522,2,C003,L002,0.923,"{""x"": 1161, ""y"": 272, ""w"": 273, ""h"": 352}",
T20260409_0004_TW2522,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:23,2026-04-09 07:00:26,2026-04-09,TW2522,2,C003,L002,0.875,"{""x"": 297, ""y"": 160, ""w"": 182, ""h"": 340}",
P20260409_0015_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:33,2026-04-09,TW2523,2,C003,L002,0.779,"{""x"": 559, ""y"": 65, ""w"": 178, ""h"": 214}",
P20260409_0009_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:34,2026-04-09 07:00:40,2026-04-09,TW2523,2,C003,L002,0.988,"{""x"": 69, ""y"": 574, ""w"": 281, ""h"": 128}",
P20260409_0017_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:36,2026-04-09 07:00:40,2026-04-09,TW2523,2,C003,L002,0.805,"{""x"": 576, ""y"": 243, ""w"": 273, ""h"": 152}",
P20260409_0016_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:34,2026-04-09 07:00:36,2026-04-09,TW2523,2,C003,L002,0.914,"{""x"": 1042, ""y"": 650, ""w"": 112, ""h"": 259}",
P20260409_0043_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:39,2026-04-09,TW2523,2,C003,L002,0.895,"{""x"": 986, ""y"": 515, ""w"": 144, ""h"": 204}",
P20260409_0046_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:36,2026-04-09,TW2523,2,C003,L002,0.702,"{""x"": 1375, ""y"": 464, ""w"": 153, ""h"": 308}",
P20260409_0036_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:39,2026-04-09,TW2523,2,C003,L002,0.742,"{""x"": 631, ""y"": 258, ""w"": 236, ""h"": 372}",
P20260409_0023_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:30,2026-04-09 07:00:36,2026-04-09,TW2523,2,C003,L002,0.87,"{""x"": 623, ""y"": 594, ""w"": 140, ""h"": 319}",
P20260409_0044_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:33,2026-04-09 07:00:39,2026-04-09,TW2523,2,C003,L002,0.943,"{""x"": 653, ""y"": 179, ""w"": 120, ""h"": 211}",
P20260409_0034_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:33,2026-04-09,TW2523,2,C003,L002,0.904,"{""x"": 447, ""y"": 48, ""w"": 152, ""h"": 309}",
P20260409_0039_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:34,2026-04-09 07:00:38,2026-04-09,TW2523,2,C003,L002,0.757,"{""x"": 116, ""y"": 132, ""w"": 203, ""h"": 104}",
P20260409_0047_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:31,2026-04-09 07:00:33,2026-04-09,TW2523,2,C003,L002,0.909,"{""x"": 10, ""y"": 192, ""w"": 119, ""h"": 354}",
P20260409_0010_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:35,2026-04-09 07:00:36,2026-04-09,TW2523,2,C003,L002,0.793,"{""x"": 55, ""y"": 664, ""w"": 174, ""h"": 287}",
P20260409_0033_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:31,2026-04-09 07:00:37,2026-04-09,TW2523,2,C003,L002,0.931,"{""x"": 178, ""y"": 641, ""w"": 206, ""h"": 251}",
P20260409_0005_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:40,2026-04-09,TW2523,2,C003,L002,0.953,"{""x"": 52, ""y"": 324, ""w"": 194, ""h"": 240}",
P20260409_0035_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:36,2026-04-09 07:00:37,2026-04-09,TW2523,2,C003,L002,0.745,"{""x"": 38, ""y"": 159, ""w"": 103, ""h"": 153}",
P20260409_0012_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:35,2026-04-09 07:00:37,2026-04-09,TW2523,2,C003,L002,0.8,"{""x"": 1392, ""y"": 602, ""w"": 271, ""h"": 364}",
P20260409_0049_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:35,2026-04-09 07:00:38,2026-04-09,TW2523,2,C003,L002,0.936,"{""x"": 978, ""y"": 781, ""w"": 58, ""h"": 238}",
P20260409_0050_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:40,2026-04-09,TW2523,2,C003,L002,0.738,"{""x"": 18, ""y"": 571, ""w"": 171, ""h"": 131}",
VH20260409_0007_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:31,2026-04-09 07:00:37,2026-04-09,TW2523,2,C003,L002,0.919,"{""x"": 184, ""y"": 28, ""w"": 209, ""h"": 148}",
VH20260409_0004_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:30,2026-04-09 07:00:32,2026-04-09,TW2523,2,C003,L002,0.925,"{""x"": 530, ""y"": 620, ""w"": 143, ""h"": 156}",
VH20260409_0005_TW2523,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:35,2026-04-09,TW2523,2,C003,L002,0.77,"{""x"": 1021, ""y"": 218, ""w"": 212, ""h"": 256}",
VH20260409_0006_TW2523,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:30,2026-04-09 07:00:36,2026-04-09,TW2523,2,C004,L002,0.963,"{""x"": 769, ""y"": 672, ""w"": 210, ""h"": 194}",
VH20260409_0012_TW2523,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:34,2026-04-09 07:00:35,2026-04-09,TW2523,2,C004,L002,0.77,"{""x"": 725, ""y"": 208, ""w"": 133, ""h"": 297}",
VH20260409_0010_TW2523,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:32,2026-04-09 07:00:37,2026-04-09,TW2523,2,C004,L002,0.985,"{""x"": 320, ""y"": 488, ""w"": 270, ""h"": 216}",
VH20260409_0008_TW2523,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:34,2026-04-09 07:00:37,2026-04-09,TW2523,2,C004,L002,0.841,"{""x"": 511, ""y"": 165, ""w"": 131, ""h"": 392}",
P20260409_0024_TW2524,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:42,2026-04-09 07:00:47,2026-04-09,TW2524,2,C003,L002,0.972,"{""x"": 1385, ""y"": 61, ""w"": 282, ""h"": 335}",
VH20260409_0010_TW2524,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:41,2026-04-09 07:00:49,2026-04-09,TW2524,2,C003,L002,0.954,"{""x"": 1399, ""y"": 121, ""w"": 192, ""h"": 273}",
VH20260409_0002_TW2524,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:41,2026-04-09 07:00:49,2026-04-09,TW2524,2,C003,L002,0.876,"{""x"": 939, ""y"": 35, ""w"": 292, ""h"": 246}",
VH20260409_0008_TW2524,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:40,2026-04-09 07:00:48,2026-04-09,TW2524,2,C003,L002,0.742,"{""x"": 1203, ""y"": 590, ""w"": 180, ""h"": 103}",
VH20260409_0009_TW2524,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:41,2026-04-09 07:00:48,2026-04-09,TW2524,2,C003,L002,0.882,"{""x"": 495, ""y"": 298, ""w"": 247, ""h"": 358}",
VH20260409_0006_TW2524,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:46,2026-04-09 07:00:47,2026-04-09,TW2524,2,C003,L002,0.724,"{""x"": 1385, ""y"": 654, ""w"": 147, ""h"": 332}",
VH20260409_0004_TW2524,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:42,2026-04-09 07:00:43,2026-04-09,TW2524,2,C004,L002,0.898,"{""x"": 109, ""y"": 601, ""w"": 126, ""h"": 276}",
VH20260409_0011_TW2524,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:41,2026-04-09 07:00:47,2026-04-09,TW2524,2,C004,L002,0.88,"{""x"": 897, ""y"": 412, ""w"": 77, ""h"": 213}",
P20260409_0024_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:57,2026-04-09 07:00:58,2026-04-09,TW2525,2,C003,L002,0.856,"{""x"": 479, ""y"": 791, ""w"": 177, ""h"": 389}",
P20260409_0044_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:55,2026-04-09 07:00:58,2026-04-09,TW2525,2,C003,L002,0.915,"{""x"": 753, ""y"": 672, ""w"": 281, ""h"": 173}",
P20260409_0042_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:50,2026-04-09 07:00:54,2026-04-09,TW2525,2,C003,L002,0.83,"{""x"": 73, ""y"": 292, ""w"": 162, ""h"": 151}",
P20260409_0011_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:52,2026-04-09 07:00:56,2026-04-09,TW2525,2,C003,L002,0.972,"{""x"": 823, ""y"": 25, ""w"": 223, ""h"": 164}",
P20260409_0009_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:55,2026-04-09 07:00:56,2026-04-09,TW2525,2,C003,L002,0.719,"{""x"": 765, ""y"": 523, ""w"": 268, ""h"": 331}",
P20260409_0048_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:54,2026-04-09 07:00:58,2026-04-09,TW2525,2,C003,L002,0.942,"{""x"": 413, ""y"": 317, ""w"": 250, ""h"": 313}",
P20260409_0019_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:51,2026-04-09 07:00:56,2026-04-09,TW2525,2,C003,L002,0.709,"{""x"": 363, ""y"": 351, ""w"": 155, ""h"": 91}",
P20260409_0003_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:51,2026-04-09 07:00:57,2026-04-09,TW2525,2,C003,L002,0.745,"{""x"": 528, ""y"": 621, ""w"": 166, ""h"": 323}",
P20260409_0037_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:51,2026-04-09 07:00:58,2026-04-09,TW2525,2,C003,L002,0.779,"{""x"": 852, ""y"": 152, ""w"": 283, ""h"": 150}",
P20260409_0039_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:55,2026-04-09 07:00:58,2026-04-09,TW2525,2,C003,L002,0.749,"{""x"": 865, ""y"": 171, ""w"": 70, ""h"": 379}",
P20260409_0017_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:51,2026-04-09 07:00:59,2026-04-09,TW2525,2,C003,L002,0.949,"{""x"": 550, ""y"": 729, ""w"": 154, ""h"": 128}",
P20260409_0023_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:56,2026-04-09 07:00:57,2026-04-09,TW2525,2,C003,L002,0.981,"{""x"": 593, ""y"": 72, ""w"": 123, ""h"": 169}",
P20260409_0012_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:56,2026-04-09 07:00:59,2026-04-09,TW2525,2,C003,L002,0.946,"{""x"": 1358, ""y"": 669, ""w"": 230, ""h"": 342}",
P20260409_0027_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:57,2026-04-09 07:00:59,2026-04-09,TW2525,2,C003,L002,0.961,"{""x"": 1143, ""y"": 197, ""w"": 161, ""h"": 118}",
T20260409_0001_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:54,2026-04-09 07:00:59,2026-04-09,TW2525,2,C003,L002,0.753,"{""x"": 523, ""y"": 658, ""w"": 110, ""h"": 290}",
T20260409_0002_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:54,2026-04-09 07:01:00,2026-04-09,TW2525,2,C003,L002,0.896,"{""x"": 150, ""y"": 717, ""w"": 239, ""h"": 109}",
VH20260409_0009_TW2525,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:00:50,2026-04-09 07:00:58,2026-04-09,TW2525,2,C003,L002,0.838,"{""x"": 1388, ""y"": 779, ""w"": 231, ""h"": 172}",
VH20260409_0012_TW2525,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:52,2026-04-09 07:00:56,2026-04-09,TW2525,2,C004,L002,0.892,"{""x"": 747, ""y"": 130, ""w"": 106, ""h"": 190}",
VH20260409_0008_TW2525,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:50,2026-04-09 07:00:55,2026-04-09,TW2525,2,C004,L002,0.879,"{""x"": 1323, ""y"": 79, ""w"": 170, ""h"": 378}",
VH20260409_0003_TW2525,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:00:51,2026-04-09 07:00:59,2026-04-09,TW2525,2,C004,L002,0.904,"{""x"": 895, ""y"": 322, ""w"": 94, ""h"": 326}",
VH20260409_0012_TW2526,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:01,2026-04-09 07:01:09,2026-04-09,TW2526,2,C003,L002,0.807,"{""x"": 1134, ""y"": 509, ""w"": 245, ""h"": 381}",
VH20260409_0005_TW2526,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:01,2026-04-09 07:01:07,2026-04-09,TW2526,2,C003,L002,0.81,"{""x"": 229, ""y"": 143, ""w"": 177, ""h"": 378}",
VH20260409_0003_TW2526,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:02,2026-04-09 07:01:07,2026-04-09,TW2526,2,C003,L002,0.791,"{""x"": 58, ""y"": 325, ""w"": 102, ""h"": 314}",
VH20260409_0001_TW2526,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:04,2026-04-09 07:01:06,2026-04-09,TW2526,2,C003,L002,0.926,"{""x"": 742, ""y"": 492, ""w"": 293, ""h"": 181}",
VH20260409_0011_TW2526,V_C004_20260409_070000,DETECTED_IN,2026-04-09 07:01:03,2026-04-09 07:01:04,2026-04-09,TW2526,2,C004,L002,0.847,"{""x"": 241, ""y"": 771, ""w"": 264, ""h"": 201}",
P20260409_0013_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:18,2026-04-09 07:01:20,2026-04-09,TW2527,2,C003,L002,0.883,"{""x"": 1217, ""y"": 233, ""w"": 290, ""h"": 373}",
P20260409_0038_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:15,2026-04-09 07:01:18,2026-04-09,TW2527,2,C003,L002,0.934,"{""x"": 1317, ""y"": 161, ""w"": 226, ""h"": 237}",
P20260409_0022_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:14,2026-04-09 07:01:17,2026-04-09,TW2527,2,C003,L002,0.717,"{""x"": 1172, ""y"": 51, ""w"": 100, ""h"": 207}",
P20260409_0021_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:10,2026-04-09 07:01:14,2026-04-09,TW2527,2,C003,L002,0.776,"{""x"": 373, ""y"": 256, ""w"": 50, ""h"": 233}",
P20260409_0024_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:10,2026-04-09 07:01:18,2026-04-09,TW2527,2,C003,L002,0.733,"{""x"": 457, ""y"": 8, ""w"": 79, ""h"": 248}",
P20260409_0004_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:17,2026-04-09 07:01:19,2026-04-09,TW2527,2,C003,L002,0.989,"{""x"": 428, ""y"": 359, ""w"": 59, ""h"": 240}",
P20260409_0008_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:13,2026-04-09 07:01:20,2026-04-09,TW2527,2,C003,L002,0.765,"{""x"": 855, ""y"": 74, ""w"": 208, ""h"": 342}",
P20260409_0007_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:12,2026-04-09 07:01:20,2026-04-09,TW2527,2,C003,L002,0.78,"{""x"": 832, ""y"": 417, ""w"": 104, ""h"": 105}",
VH20260409_0003_TW2527,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:13,2026-04-09 07:01:17,2026-04-09,TW2527,2,C003,L002,0.847,"{""x"": 242, ""y"": 81, ""w"": 225, ""h"": 268}",
P20260409_0004_TW2528,V_C003_20260409_070000,DETECTED_IN,2026-04-09 07:01:28,2026-04-09 07:01:30,2026-04-09,TW2528,2,C003,L002,0.968,"{""x"": 1351, ""y"": 159, ""w"": 128, ""h"": 290}",
